id,student_id,date,duration_min,amount
dfce91ba,d5147f4d,2025-06-04,60,18.0
d26b8893,d4a8c0f1,2025-06-04,60,23.0
5eca76ba,08833181,2025-06-04,60,20.0
96b96b37,54be4918,2025-06-05,60,18.0
ba9a51f5,b22bf300,2025-06-05,60,23.0
33fb0ed8,d5147f4d,2025-06-05,60,18.0
9cb870cc,42b54fd1,2025-06-05,60,20.0
1a4664c6,08833181,2025-06-05,60,20.0
2eb9e59d,a58fecb2,2025-06-06,60,23.0
5cd3120d,e84c04a2,2025-06-06,60,23.0
3197c4bb,8b3d34f1,2025-06-07,60,23.0
a222c047,08833181,2025-06-07,60,20.0
9baf72b9,42b54fd1,2025-06-07,60,20.0
5d1666fd,8b3d34f1,2025-06-09,60,23.0
48f658d7,cb66988c,2025-06-09,60,20.0
4a650675,3b55f071,2025-06-09,60,20.0
d6b4b77b,54be4918,2025-06-09,60,18.0
7b2890a6,42b54fd1,2025-06-09,60,20.0
3178b834,ccaa9360,2025-06-09,60,20.0
751ad2ac,b22bf300,2025-06-09,60,23.0
398eb05e,08833181,2025-06-09,60,20.0
5c2aa48e,a58fecb2,2025-06-10,60,23.0
c4007efb,cb66988c,2025-06-10,60,20.0
a5e70c96,f87961ca,2025-06-10,60,23.0
b917467e,54be4918,2025-06-10,60,18.0
32f99fcd,ef18c8b8,2025-06-10,60,18.0
35388019,541845ea,2025-06-10,90,30.0
1fee4a22,08833181,2025-06-10,60,20.0
0cbba8e1,d5147f4d,2025-06-10,60,18.0
62fad354,ccaa9360,2025-06-10,60,20.0
0cb0b82a,541845ea,2025-06-11,90,30.0
cd172895,cb66988c,2025-06-11,60,20.0
6248848e,ef18c8b8,2025-06-11,60,18.0
b87197c3,3b55f071,2025-06-11,60,20.0
4e68e987,54be4918,2025-06-11,60,18.0
67fec72c,d5147f4d,2025-06-11,60,18.0
406220fb,cb66988c,2025-06-11,60,20.0
b2f29fb2,08833181,2025-06-11,60,20.0
626c8162,8b3d34f1,2025-06-12,60,23.0
31254ebb,cb66988c,2025-06-12,60,20.0
76dceade,d5147f4d,2025-06-12,60,18.0
80168dbd,54be4918,2025-06-12,60,18.0
6839a1fc,d5147f4d,2025-06-12,60,18.0
